Entity,Code,Year,Deaths - Opioid use disorders - Sex: Both - Age: All Ages (Number),Deaths - Cocaine use disorders - Sex: Both - Age: All Ages (Number),Deaths - Other drug use disorders - Sex: Both - Age: All Ages (Number),Deaths - Amphetamine use disorders - Sex: Both - Age: All Ages (Number)
Algeria,DZA,2001,247,17,67,10
Algeria,DZA,2002,256,17,70,11
Algeria,DZA,2003,257,18,70,11
Algeria,DZA,2004,263,18,72,11
Algeria,DZA,2005,269,19,74,11
Algeria,DZA,2006,273,20,76,11
Algeria,DZA,2007,277,20,77,11
Algeria,DZA,2008,281,21,79,12
Algeria,DZA,2009,286,21,80,12
Algeria,DZA,2010,290,22,82,12
Algeria,DZA,2011,298,23,85,12
Algeria,DZA,2012,305,23,88,13
Algeria,DZA,2013,313,24,91,13
Algeria,DZA,2014,321,25,94,14
Algeria,DZA,2015,328,26,97,14
Algeria,DZA,2016,331,27,99,14
Algeria,DZA,2017,339,28,102,15
Algeria,DZA,2018,355,29,109,16
Algeria,DZA,2019,365,31,114,17
America,,1990,4963,1070,930,301
America,,1991,5266,1126,915,317
America,,1992,5690,1197,927,340
America,,1993,6287,1303,979,377
America,,1994,6793,1410,1015,406
America,,1995,7281,1520,1064,435
America,,1996,7828,1635,1111,469
America,,1997,8587,1813,1202,527
America,,1998,9453,2025,1323,598
America,,1999,10515,2340,1549,720
America,,2000,11650,2592,1785,834
America,,2001,13008,2880,2020,961
America,,2002,14854,3200,2252,1117
America,,2003,16631,3536,2451,1280
America,,2004,18194,3810,2557,1402
America,,2005,19842,4102,2714,1559
America,,2006,21178,4307,2825,1665
America,,2007,22094,4384,2898,1710
America,,2008,23014,4470,3000,1758
America,,2009,24115,4577,3134,1817
America,,2010,25346,4698,3221,1860
America,,2011,27155,5025,3433,2012
America,,2012,28916,5361,3644,2168
America,,2013,31312,5819,3930,2380
America,,2014,34483,6392,4308,2676
America,,2015,38652,7125,4829,3108
America,,2016,43652,8066,5512,3700
America,,2017,46520,8959,6004,4179
America,,2018,47894,9565,6247,4474
America,,2019,49853,10162,6453,4737
American Samoa,ASM,1990,0,0,0,0
American Samoa,ASM,1991,0,0,0,0
American Samoa,ASM,1992,0,0,0,0
American Samoa,ASM,1993,0,0,0,0
American Samoa,ASM,1994,0,0,0,0
American Samoa,ASM,1995,0,0,0,0
American Samoa,ASM,1996,0,0,0,0
American Samoa,ASM,1997,0,0,0,0
American Samoa,ASM,1998,0,0,0,0
American Samoa,ASM,1999,0,0,0,0
American Samoa,ASM,2000,0,0,0,0
American Samoa,ASM,2001,0,0,0,0
American Samoa,ASM,2002,0,0,0,0
American Samoa,ASM,2003,0,0,0,0
American Samoa,ASM,2004,0,0,0,0
American Samoa,ASM,2005,0,0,0,0
American Samoa,ASM,2006,0,0,0,0
American Samoa,ASM,2007,0,0,0,0
American Samoa,ASM,2008,0,0,0,0
American Samoa,ASM,2009,0,0,0,0
American Samoa,ASM,2010,0,0,0,0
American Samoa,ASM,2011,0,0,0,0
American Samoa,ASM,2012,0,0,0,0
American Samoa,ASM,2013,0,0,0,0
American Samoa,ASM,2014,0,0,0,0
American Samoa,ASM,2015,0,0,0,0
American Samoa,ASM,2016,0,0,0,0
American Samoa,ASM,2017,0,0,0,0
American Samoa,ASM,2018,0,0,0,0
American Samoa,ASM,2019,0,0,0,0
Andean Latin America,,1990,28,50,33,7
Andean Latin America,,1991,28,50,34,7
Andean Latin America,,1992,31,55,38,7
Andean Latin America,,1993,32,58,40,8
Andean Latin America,,1994,34,61,44,8
Andean Latin America,,1995,36,65,47,9
Andean Latin America,,1996,37,68,48,9
Andean Latin America,,1997,39,72,54,10
Andean Latin America,,1998,41,76,58,10
Andean Latin America,,1999,40,74,60,10
Andean Latin America,,2000,43,83,58,11
Andean Latin America,,2001,43,88,55,12
Andean Latin America,,2002,46,97,56,13
Andean Latin America,,2003,48,106,58,14
Andean Latin America,,2004,47,105,56,14
Andean Latin America,,2005,48,108,56,14
Andean Latin America,,2006,49,107,54,15
Andean Latin America,,2007,49,108,52,15
Andean Latin America,,2008,49,106,51,15
Andean Latin America,,2009,54,122,58,17
Andean Latin America,,2010,56,128,60,18
Andean Latin America,,2011,57,130,60,18
Andean Latin America,,2012,58,129,60,19
Andean Latin America,,2013,58,128,60,18
Andean Latin America,,2014,57,124,58,18
Andean Latin America,,2015,58,125,58,18
Andean Latin America,,2016,61,128,60,19
Andean Latin America,,2017,63,132,61,20
Andean Latin America,,2018,65,135,63,20
Andean Latin America,,2019,67,138,65,21
Andorra,AND,1990,0,0,0,0
Andorra,AND,1991,0,0,0,0
Andorra,AND,1992,0,0,0,0
Andorra,AND,1993,0,0,0,0
Andorra,AND,1994,0,0,0,0
Andorra,AND,1995,0,0,0,0
Andorra,AND,1996,0,0,0,0
Andorra,AND,1997,0,0,0,0
Andorra,AND,1998,0,0,0,0
Andorra,AND,1999,0,0,0,0
Andorra,AND,2000,0,0,0,0
Andorra,AND,2001,0,0,0,0
Andorra,AND,2002,0,0,0,0
Andorra,AND,2003,0,0,0,0
Andorra,AND,2004,0,0,0,0
Andorra,AND,2005,0,0,0,0
Andorra,AND,2006,0,0,0,0
Andorra,AND,2007,0,0,0,0
Andorra,AND,2008,0,0,0,0
Andorra,AND,2009,0,0,0,0
Andorra,AND,2010,0,0,0,0
Andorra,AND,2011,0,0,0,0
Andorra,AND,2012,0,0,0,0
Andorra,AND,2013,0,0,0,0
Andorra,AND,2014,0,0,0,0
Andorra,AND,2015,0,0,0,0
Andorra,AND,2016,0,0,0,0
Andorra,AND,2017,0,0,0,0
Andorra,AND,2018,0,0,0,0
Andorra,AND,2019,0,0,0,0
Angola,AGO,1990,13,1,5,0
Angola,AGO,1991,13,1,5,0
Angola,AGO,1992,14,1,6,0
Angola,AGO,1993,15,1,6,0
Angola,AGO,1994,16,1,7,0
Angola,AGO,1995,16,1,7,0
Angola,AGO,1996,15,1,7,0
Angola,AGO,1997,16,1,7,0
Angola,AGO,1998,17,1,8,1
Angola,AGO,1999,18,1,8,1
Angola,AGO,2000,19,2,8,1
Angola,AGO,2001,20,2,8,1
Angola,AGO,2002,20,2,8,1
Angola,AGO,2003,21,2,8,1
Angola,AGO,2004,23,2,8,1
Angola,AGO,2005,23,2,8,1
Angola,AGO,2006,25,2,9,1
Angola,AGO,2007,26,2,9,1
Angola,AGO,2008,27,2,9,1
Angola,AGO,2009,29,3,10,1
Angola,AGO,2010,31,3,10,1
Angola,AGO,2011,33,3,11,1
Angola,AGO,2012,35,3,12,1
Angola,AGO,2013,37,4,13,2
Angola,AGO,2014,39,4,13,2
Angola,AGO,2015,41,4,14,2
Angola,AGO,2016,43,4,15,2
Angola,AGO,2017,47,5,17,2
Angola,AGO,2018,50,5,18,2
Angola,AGO,2019,52,6,19,2
Antigua and Barbuda,ATG,1990,0,0,0,0
Antigua and Barbuda,ATG,1991,0,0,0,0
Antigua and Barbuda,ATG,1992,0,0,0,0
Antigua and Barbuda,ATG,1993,0,0,0,0
Antigua and Barbuda,ATG,1994,0,0,0,0
Antigua and Barbuda,ATG,1995,0,0,0,0
Antigua and Barbuda,ATG,1996,0,0,0,0
Antigua and Barbuda,ATG,1997,0,0,0,0
Antigua and Barbuda,ATG,1998,0,0,0,0
Antigua and Barbuda,ATG,1999,0,0,0,0
Antigua and Barbuda,ATG,2000,0,0,0,0
Antigua and Barbuda,ATG,2001,0,0,0,0
Antigua and Barbuda,ATG,2002,0,0,0,0
Antigua and Barbuda,ATG,2003,0,0,0,0
Antigua and Barbuda,ATG,2004,0,0,0,0
Antigua and Barbuda,ATG,2005,0,0,0,0
Antigua and Barbuda,ATG,2006,0,0,0,0
Antigua and Barbuda,ATG,2007,0,0,0,0
Antigua and Barbuda,ATG,2008,0,0,0,0
Antigua and Barbuda,ATG,2009,0,0,0,0
Antigua and Barbuda,ATG,2010,0,0,0,0
Antigua and Barbuda,ATG,2011,0,0,0,0
Antigua and Barbuda,ATG,2012,0,0,0,0
Antigua and Barbuda,ATG,2013,0,0,0,0
Antigua and Barbuda,ATG,2014,0,0,0,0
Antigua and Barbuda,ATG,2015,0,0,0,0
Antigua and Barbuda,ATG,2016,0,0,0,0
Antigua and Barbuda,ATG,2017,0,0,0,0
Antigua and Barbuda,ATG,2018,0,0,0,0
Antigua and Barbuda,ATG,2019,0,0,0,0
Argentina,ARG,1990,14,3,4,1
Argentina,ARG,1991,15,3,4,1
Argentina,ARG,1992,16,3,5,1
Argentina,ARG,1993,17,3,5,1
Argentina,ARG,1994,18,4,5,1
Argentina,ARG,1995,19,4,5,2
Argentina,ARG,1996,20,4,6,2
Argentina,ARG,1997,22,5,7,2
Argentina,ARG,1998,26,5,8,2
Argentina,ARG,1999,27,6,8,2
Argentina,ARG,2000,27,5,8,2
Argentina,ARG,2001,30,5,9,2
Argentina,ARG,2002,30,5,9,2
Argentina,ARG,2003,28,5,9,2
Argentina,ARG,2004,28,5,9,2
Argentina,ARG,2005,29,5,10,2
Argentina,ARG,2006,31,5,11,2
Argentina,ARG,2007,33,6,12,2
Argentina,ARG,2008,34,6,12,2
Argentina,ARG,2009,36,6,13,2
Argentina,ARG,2010,37,6,14,2
Argentina,ARG,2011,40,7,16,2
Argentina,ARG,2012,42,7,17,2
Argentina,ARG,2013,44,7,18,3
Argentina,ARG,2014,47,7,18,2
Argentina,ARG,2015,47,8,21,3
Argentina,ARG,2016,49,9,23,3
Argentina,ARG,2017,45,9,24,3
Argentina,ARG,2018,47,9,24,3
Argentina,ARG,2019,48,10,25,3
Armenia,ARM,1990,3,0,1,0
Armenia,ARM,1991,3,0,2,0
Armenia,ARM,1992,4,0,2,0
Armenia,ARM,1993,4,0,2,0
Armenia,ARM,1994,4,0,2,0
Armenia,ARM,1995,4,0,2,0
Armenia,ARM,1996,4,0,2,0
Armenia,ARM,1997,4,0,2,0
Armenia,ARM,1998,4,0,2,0
Armenia,ARM,1999,4,0,2,0
Armenia,ARM,2000,3,0,2,0
Armenia,ARM,2001,3,0,2,0
Armenia,ARM,2002,4,0,2,0
Armenia,ARM,2003,4,0,2,0
Armenia,ARM,2004,4,0,2,0
Armenia,ARM,2005,4,0,2,0
Armenia,ARM,2006,5,0,3,0
Armenia,ARM,2007,5,0,3,0
Armenia,ARM,2008,5,0,3,0
Armenia,ARM,2009,5,0,3,0
Armenia,ARM,2010,5,1,4,0
Armenia,ARM,2011,5,1,4,0
Armenia,ARM,2012,5,0,4,0
Armenia,ARM,2013,5,1,3,0
Armenia,ARM,2014,5,1,3,0
Armenia,ARM,2015,5,1,4,0
Armenia,ARM,2016,5,1,3,0
Armenia,ARM,2017,5,1,4,0
Armenia,ARM,2018,5,1,4,0
Armenia,ARM,2019,5,1,4,0
Asia,,1990,21067,850,7815,5853
Asia,,1991,23277,953,8694,6671
Asia,,1992,24899,1038,9223,7244
Asia,,1993,26131,1114,9588,7612
Asia,,1994,27679,1208,10172,8261
Asia,,1995,28841,1284,10579,8666
Asia,,1996,29433,1340,10769,8703
Asia,,1997,29390,1375,10698,8422
Asia,,1998,29760,1427,10844,8412
Asia,,1999,29286,1445,10613,8032
Asia,,2000,28892,1474,10555,7783
Asia,,2001,26688,1406,9661,6786
Asia,,2002,24169,1316,8590,5580
Asia,,2003,21274,1216,7354,4325
Asia,,2004,19532,1176,6701,3586
Asia,,2005,19157,1202,6499,3183
Asia,,2006,18320,1196,6231,2899
Asia,,2007,18004,1214,6144,2732
Asia,,2008,17868,1246,6141,2636
Asia,,2009,17735,1270,6145,2581
Asia,,2010,17617,1293,6201,2572
Asia,,2011,17465,1306,6186,2531
Asia,,2012,17070,1304,6106,2453
Asia,,2013,17260,1333,6235,2441
Asia,,2014,17371,1360,6398,2471
Asia,,2015,17613,1392,6536,2489
Asia,,2016,17980,1445,6750,2558
Asia,,2017,18548,1512,7100,2712
Asia,,2018,19718,1612,7641,2968
Asia,,2019,20663,1704,8098,3187
Australasia,,1990,341,1,134,7
Australasia,,1991,355,1,149,7
Australasia,,1992,397,1,157,8
Australasia,,1993,431,2,171,9
Australasia,,1994,483,2,196,11
Australasia,,1995,539,2,224,12
Australasia,,1996,570,2,243,13
Australasia,,1997,615,3,274,16
Australasia,,1998,638,4,313,22
Australasia,,1999,629,5,334,26
Australasia,,2000,567,6,334,27
Australasia,,2001,467,6,324,27
Australasia,,2002,433,6,331,27
Australasia,,2003,427,6,350,30
Australasia,,2004,419,7,372,32
Australasia,,2005,418,7,393,35
Australasia,,2006,397,7,397,35
Australasia,,2007,375,7,395,33
Australasia,,2008,352,6,385,31
Australasia,,2009,335,6,378,28
Australasia,,2010,337,6,385,28
Australasia,,2011,354,6,406,29
Australasia,,2012,368,6,419,30
Australasia,,2013,382,6,449,32
Australasia,,2014,408,7,494,35
Australasia,,2015,432,7,534,39
Australasia,,2016,456,8,559,41
Australasia,,2017,469,8,581,43
Australasia,,2018,486,8,609,45
Australasia,,2019,502,9,634,48
Australia,AUS,1990,330,1,121,6
Australia,AUS,1991,342,1,135,7
Australia,AUS,1992,382,1,144,8
Australia,AUS,1993,415,2,158,9
Australia,AUS,1994,465,2,183,10
Australia,AUS,1995,518,2,209,11
Australia,AUS,1996,546,2,229,13
Australia,AUS,1997,591,3,260,15
Australia,AUS,1998,612,4,299,21
Australia,AUS,1999,604,5,320,25
Australia,AUS,2000,543,6,320,27
Australia,AUS,2001,442,6,309,25
Australia,AUS,2002,405,6,315,26
Australia,AUS,2003,402,6,331,28
Australia,AUS,2004,393,6,352,31
Australia,AUS,2005,393,7,372,33
Australia,AUS,2006,372,7,375,33
Australia,AUS,2007,349,6,370,31
Australia,AUS,2008,327,6,359,29
Australia,AUS,2009,310,5,351,26
Australia,AUS,2010,311,5,358,26
Australia,AUS,2011,328,5,378,27
Australia,AUS,2012,342,6,391,28
Australia,AUS,2013,357,6,421,29
Australia,AUS,2014,383,6,465,33
Australia,AUS,2015,406,7,504,36
Australia,AUS,2016,429,7,528,38
Australia,AUS,2017,442,7,550,40
Australia,AUS,2018,458,8,577,43
Australia,AUS,2019,473,8,602,45
Austria,AUT,1990,63,1,5,1
Austria,AUT,1991,78,1,6,1
Austria,AUT,1992,96,1,5,1
Austria,AUT,1993,116,1,6,1
Austria,AUT,1994,133,1,6,1
Austria,AUT,1995,141,1,7,1
Austria,AUT,1996,142,1,8,1
Austria,AUT,1997,138,1,7,1
Austria,AUT,1998,136,1,9,1
Austria,AUT,1999,143,1,9,1
Austria,AUT,2000,154,1,10,1
Austria,AUT,2001,154,1,10,1
Austria,AUT,2002,156,1,9,1
Austria,AUT,2003,174,1,8,1
Austria,AUT,2004,182,1,8,2
Austria,AUT,2005,186,1,8,2
Austria,AUT,2006,189,1,8,2
Austria,AUT,2007,191,2,10,3
Austria,AUT,2008,193,2,12,3
Austria,AUT,2009,192,3,14,4
Austria,AUT,2010,187,3,16,5
Austria,AUT,2011,180,4,18,5
Austria,AUT,2012,163,4,20,6
Austria,AUT,2013,147,5,21,6
Austria,AUT,2014,132,5,22,6
Austria,AUT,2015,122,5,22,6
Austria,AUT,2016,112,5,22,6
Austria,AUT,2017,106,4,21,5
Austria,AUT,2018,110,4,20,5
Austria,AUT,2019,111,4,20,5
Azerbaijan,AZE,1990,12,0,1,1
Azerbaijan,AZE,1991,14,0,1,1
Azerbaijan,AZE,1992,17,1,2,1
Azerbaijan,AZE,1993,19,1,2,1
Azerbaijan,AZE,1994,20,1,3,2
Azerbaijan,AZE,1995,20,1,2,1
Azerbaijan,AZE,1996,18,0,2,1
Azerbaijan,AZE,1997,17,0,2,1
Azerbaijan,AZE,1998,17,0,1,1
Azerbaijan,AZE,1999,17,0,1,1
Azerbaijan,AZE,2000,18,0,2,1
Azerbaijan,AZE,2001,21,1,2,1
Azerbaijan,AZE,2002,22,1,2,1
Azerbaijan,AZE,2003,24,1,2,1
Azerbaijan,AZE,2004,23,1,2,1
Azerbaijan,AZE,2005,24,1,3,2
Azerbaijan,AZE,2006,24,1,3,2
Azerbaijan,AZE,2007,24,1,3,2
Azerbaijan,AZE,2008,25,1,3,2
Azerbaijan,AZE,2009,26,1,3,2
Azerbaijan,AZE,2010,27,1,3,2
Azerbaijan,AZE,2011,27,1,3,2
Azerbaijan,AZE,2012,27,1,3,2
Azerbaijan,AZE,2013,27,1,4,2
Azerbaijan,AZE,2014,28,1,4,2
Azerbaijan,AZE,2015,28,1,4,2
Azerbaijan,AZE,2016,28,1,4,2
Azerbaijan,AZE,2017,29,1,4,2
Azerbaijan,AZE,2018,30,1,4,2
Azerbaijan,AZE,2019,31,1,4,3
Bahamas,BHS,1990,0,0,0,0
Bahamas,BHS,1991,0,0,0,0
Bahamas,BHS,1992,0,0,0,0
Bahamas,BHS,1993,0,0,0,0
Bahamas,BHS,1994,0,0,0,0
Bahamas,BHS,1995,0,0,0,0
Bahamas,BHS,1996,0,1,0,0
Bahamas,BHS,1997,0,1,0,0
Bahamas,BHS,1998,0,1,0,0
Bahamas,BHS,1999,0,1,0,0
Bahamas,BHS,2000,0,1,0,0
Bahamas,BHS,2001,0,1,0,0
Bahamas,BHS,2002,0,1,0,0
Bahamas,BHS,2003,0,1,0,0
Bahamas,BHS,2004,0,1,0,0
Bahamas,BHS,2005,0,1,0,0
Bahamas,BHS,2006,0,1,0,0
Bahamas,BHS,2007,0,1,0,0
Bahamas,BHS,2008,0,1,0,0
Bahamas,BHS,2009,0,1,0,0
Bahamas,BHS,2010,0,1,0,0
Bahamas,BHS,2011,0,0,0,0
Bahamas,BHS,2012,0,0,0,0
Bahamas,BHS,2013,0,0,0,0
Bahamas,BHS,2014,0,0,0,0
Bahamas,BHS,2015,0,0,0,0
Bahamas,BHS,2016,0,0,0,0
Bahamas,BHS,2017,0,1,0,0
Bahamas,BHS,2018,0,1,1,0
Bahamas,BHS,2019,0,1,1,0
Bahrain,BHR,1990,1,0,0,0
Bahrain,BHR,1991,1,0,0,0
Bahrain,BHR,1992,1,0,0,0
Bahrain,BHR,1993,1,0,0,0
Bahrain,BHR,1994,1,0,0,0
Bahrain,BHR,1995,1,0,0,0
Bahrain,BHR,1996,1,0,0,0
Bahrain,BHR,1997,1,0,0,0
Bahrain,BHR,1998,1,0,0,0
Bahrain,BHR,1999,1,0,0,0
Bahrain,BHR,2000,2,0,0,0
Bahrain,BHR,2001,1,0,0,0
Bahrain,BHR,2002,1,0,0,0
Bahrain,BHR,2003,1,0,0,0
Bahrain,BHR,2004,2,0,0,0
Bahrain,BHR,2005,2,0,0,0
Bahrain,BHR,2006,2,0,0,0
Bahrain,BHR,2007,2,0,0,0
Bahrain,BHR,2008,2,0,0,0
Bahrain,BHR,2009,2,0,0,0
Bahrain,BHR,2010,2,0,0,0
Bahrain,BHR,2011,2,0,0,0
Bahrain,BHR,2012,2,0,0,0
Bahrain,BHR,2013,2,0,0,0
Bahrain,BHR,2014,2,0,0,0
Bahrain,BHR,2015,2,0,1,0
Bahrain,BHR,2016,2,0,1,0
Bahrain,BHR,2017,2,0,1,0
Bahrain,BHR,2018,2,0,1,0
Bahrain,BHR,2019,3,0,1,0
Bangladesh,BGD,1990,162,6,27,5
Bangladesh,BGD,1991,151,6,25,4
Bangladesh,BGD,1992,155,6,25,4
Bangladesh,BGD,1993,156,6,26,5
Bangladesh,BGD,1994,158,6,26,5
Bangladesh,BGD,1995,164,7,28,5
Bangladesh,BGD,1996,165,7,28,5
Bangladesh,BGD,1997,164,7,28,5
Bangladesh,BGD,1998,162,7,28,5
Bangladesh,BGD,1999,162,7,28,5
Bangladesh,BGD,2000,167,7,29,5
Bangladesh,BGD,2001,165,7,29,5
Bangladesh,BGD,2002,163,7,29,5
Bangladesh,BGD,2003,162,7,29,5
Bangladesh,BGD,2004,163,7,29,5
Bangladesh,BGD,2005,170,7,30,5
Bangladesh,BGD,2006,177,8,31,5
Bangladesh,BGD,2007,180,8,32,5
Bangladesh,BGD,2008,179,8,32,5
Bangladesh,BGD,2009,181,8,33,5
Bangladesh,BGD,2010,183,8,33,5
Bangladesh,BGD,2011,176,8,31,5
Bangladesh,BGD,2012,174,8,30,5
Bangladesh,BGD,2013,180,8,32,5
Bangladesh,BGD,2014,194,9,35,6
Bangladesh,BGD,2015,185,8,34,5
Bangladesh,BGD,2016,197,9,37,6
Bangladesh,BGD,2017,213,10,41,6
Bangladesh,BGD,2018,224,10,44,7
Bangladesh,BGD,2019,234,11,47,7
Barbados,BRB,1990,0,0,0,0
Barbados,BRB,1991,0,0,0,0
Barbados,BRB,1992,0,0,0,0
Barbados,BRB,1993,0,0,0,0
Barbados,BRB,1994,0,0,0,0
Barbados,BRB,1995,0,0,0,0
Barbados,BRB,1996,0,0,0,0
Barbados,BRB,1997,0,0,0,0
Barbados,BRB,1998,0,0,0,0
Barbados,BRB,1999,0,0,0,0
Barbados,BRB,2000,0,0,0,0
Barbados,BRB,2001,0,0,0,0
Barbados,BRB,2002,0,0,0,0
Barbados,BRB,2003,0,0,0,0
Barbados,BRB,2004,0,0,0,0
Barbados,BRB,2005,0,0,0,0
Barbados,BRB,2006,0,0,0,0
Barbados,BRB,2007,0,0,0,0
Barbados,BRB,2008,0,0,0,0
Barbados,BRB,2009,0,0,0,0
Barbados,BRB,2010,0,0,0,0
Barbados,BRB,2011,0,0,0,0
Barbados,BRB,2012,0,0,0,0
Barbados,BRB,2013,0,0,0,0
Barbados,BRB,2014,0,0,0,0
Barbados,BRB,2015,0,0,0,0
Barbados,BRB,2016,0,0,0,0
Barbados,BRB,2017,0,0,0,0
Barbados,BRB,2018,0,0,0,0
Barbados,BRB,2019,0,0,0,0
Belarus,BLR,1990,116,3,9,3
